short_name,ticker,company_id,country,sector,sub_industry
ALAMAR FOODS,6014,ALAMAR AB Equity,SA,Consumer Discretionary,Restaurants
ALANDALUS PROPER,4320,ALANDALU AB Equity,SA,Real Estate,Real Estate Operating Companies
AL-ANWAR CERAMIC,AACT,AACT OM Equity,OM,Industrials,Building Products
ALASEEL CO,4012,ALASEEL AB Equity,SA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
ALDAR PROPERTIES,ALDAR,ALDAR DH Equity,AE,Real Estate,Diversified Real Estate Activities
AL-DAWAA MEDICAL,4163,ALDAWAA AB Equity,SA,Consumer Staples,Drug Retail
ALDREES PETROLEU,4200,ALDREES AB Equity,SA,Consumer Discretionary,Automotive Retail
ALEF EDUCATION H,ALEFEDT,ALEFEDT DH Equity,AE,Consumer Discretionary,Education Services
AL-ETIHAD COOPER,8170,ALETIHAD AB Equity,SA,Financials,Multi-line Insurance
ALHAMMAD AB,4013,ALHAMMAD AB Equity,SA,Health Care,Health Care Facilities
AL-HASSAN G.I. S,1214,SHAKER AB Equity,SA,Industrials,Trading Companies & Distributors
ALI ALGHANIM SON,ALG,ALG KK Equity,KW,Consumer Discretionary,Automotive Retail
ALIJARAH HOLDING,NLCS,NLCS QD Equity,QA,Real Estate,Real Estate Development
ALIMTIAZ INVESTM,ALIMTIAZ,ALIMTIAZ KK Equity,KW,Financials,Multi-Sector Holdings
ALINMA BANK,1150,ALINMA AB Equity,SA,Financials,Diversified Banks
ALINMA HOSPITALI,4349,ALINMAHO AB Equity,SA,Real Estate,Hotel & Resort REITs
ALINMA RETAIL RE,4345,ALINMARE AB Equity,SA,Real Estate,Retail REITs
ALJAZIRA TAKAFUL,8012,JAZTAKAF AB Equity,SA,Financials,Multi-line Insurance
ALKHABEER REIT,4348,ALKHABEE AB Equity,SA,Real Estate,Diversified REITs
ALKHORAYEF WATER,2081,AWPT AB Equity,SA,Utilities,Water Utilities
ALLIANZ SAUDI FR,8040,ALLIANZ AB Equity,SA,Financials,Multi-line Insurance
